f1,f2,f3,f4,f5,f6,f7,f8
22,74,297,354,1.1919,5.6937,5.8693,0.1756
23,75,300,354,1.18,5.7038,5.8693,0.1655
24,76,300,354,1.18,5.7038,5.8693,0.1655
25,77,302,354,1.1722,5.7104,5.8693,0.1589
26,78,300,354,1.18,5.7038,5.8693,0.1655
33,85,293,349,1.1911,5.6802,5.8551,0.1749
34,86,293,349,1.1911,5.6802,5.8551,0.1749
35,87,293,347,1.1843,5.6802,5.8493,0.1691
36,88,296,347,1.1723,5.6904,5.8493,0.1589
37,89,295,347,1.1763,5.687,5.8493,0.1623
38,90,297,347,1.1684,5.6937,5.8493,0.1556
39,91,298,347,1.1644,5.6971,5.8493,0.1522
40,92,299,346,1.1572,5.7004,5.8464,0.146
41,93,301,347,1.1528,5.7071,5.8493,0.1422
42,94,305,348,1.141,5.7203,5.8522,0.1319
43,95,307,348,1.1336,5.7268,5.8522,0.1254
44,96,306,346,1.1307,5.7236,5.8464,0.1228
45,97,303,345,1.1386,5.7137,5.8435,0.1298
46,98,304,345,1.1349,5.717,5.8435,0.1265
47,99,303,345,1.1386,5.7137,5.8435,0.1298
48,100,300,345,1.15,5.7038,5.8435,0.1397
49,101,299,345,1.1538,5.7004,5.8435,0.1431
50,102,297,345,1.1616,5.6937,5.8435,0.1498
2,106,297,345,1.1616,5.6937,5.8435,0.1498
3,107,297,345,1.1616,5.6937,5.8435,0.1498
4,108,298,345,1.1577,5.6971,5.8435,0.1464
5,109,299,345,1.1538,5.7004,5.8435,0.1431
6,110,303,347,1.1452,5.7137,5.8493,0.1356
7,111,304,348,1.1447,5.717,5.8522,0.1352
8,112,304,349,1.148,5.717,5.8551,0.1381
9,113,306,350,1.1438,5.7236,5.8579,0.1343
10,114,307,348,1.1336,5.7268,5.8522,0.1254
11,115,304,347,1.1414,5.717,5.8493,0.1323
15,119,305,350,1.1475,5.7203,5.8579,0.1376
16,120,307,353,1.1498,5.7268,5.8665,0.1397
17,121,307,354,1.1531,5.7268,5.8693,0.1425
18,122,307,355,1.1564,5.7268,5.8721,0.1453
19,123,308,355,1.1526,5.7301,5.8721,0.142
20,124,308,355,1.1526,5.7301,5.8721,0.142
21,125,309,355,1.1489,5.7333,5.8721,0.1388
22,126,312,355,1.1378,5.743,5.8721,0.1291
23,127,315,358,1.1365,5.7526,5.8805,0.1279
24,128,314,358,1.1401,5.7494,5.8805,0.1311
25,129,310,355,1.1452,5.7366,5.8721,0.1355
33,137,316,356,1.1266,5.7557,5.8749,0.1192
34,138,314,356,1.1338,5.7494,5.8749,0.1255
35,139,316,356,1.1266,5.7557,5.8749,0.1192
36,140,314,356,1.1338,5.7494,5.8749,0.1255
37,141,314,356,1.1338,5.7494,5.8749,0.1255
38,142,316,357,1.1297,5.7557,5.8777,0.122
39,143,316,357,1.1297,5.7557,5.8777,0.122
40,144,316,356,1.1266,5.7557,5.8749,0.1192
41,145,317,358,1.1293,5.7589,5.8805,0.1216
42,146,317,358,1.1293,5.7589,5.8805,0.1216
43,147,316,358,1.1329,5.7557,5.8805,0.1248
44,148,315,359,1.1397,5.7526,5.8833,0.1307
45,149,315,359,1.1397,5.7526,5.8833,0.1307
46,150,315,358,1.1365,5.7526,5.8805,0.1279
47,151,315,357,1.1333,5.7526,5.8777,0.1251
48,152,316,357,1.1297,5.7557,5.8777,0.122
49,153,318,360,1.1321,5.7621,5.8861,0.124
50,154,318,360,1.1321,5.7621,5.8861,0.124
2,158,318,358,1.1258,5.7621,5.8805,0.1184
3,159,319,359,1.1254,5.7652,5.8833,0.1181
4,160,319,363,1.1379,5.7652,5.8944,0.1292
5,161,320,363,1.1344,5.7683,5.8944,0.1261
6,162,322,371,1.1522,5.7746,5.9162,0.1416
7,163,330,379,1.1485,5.7991,5.9375,0.1384
8,164,343,400,1.1662,5.8377,5.9915,0.1538
9,165,354,405,1.1441,5.8693,6.0039,0.1346
10,166,356,412,1.1573,5.8749,6.021,0.1461
11,167,366,427,1.1667,5.9026,6.0568,0.1542
12,168,364,427,1.1731,5.8972,6.0568,0.1596
13,169,371,434,1.1698,5.9162,6.073,0.1568
14,170,369,448,1.2141,5.9108,6.1048,0.194
18,174,364,448,1.2308,5.8972,6.1048,0.2076
19,175,363,469,1.292,5.8944,6.1506,0.2562
20,176,362,469,1.2956,5.8916,6.1506,0.259
21,177,364,469,1.2885,5.8972,6.1506,0.2534
22,178,361,469,1.2992,5.8889,6.1506,0.2617
23,179,360,469,1.3028,5.8861,6.1506,0.2645
24,180,362,462,1.2762,5.8916,6.1356,0.244
25,181,363,462,1.2727,5.8944,6.1356,0.2412
26,182,361,462,1.2798,5.8889,6.1356,0.2467
31,187,364,462,1.2692,5.8972,6.1356,0.2384
34,190,369,464,1.2575,5.9108,6.1399,0.2291
35,191,365,464,1.2712,5.8999,6.1399,0.24
36,192,366,464,1.2678,5.9026,6.1399,0.2373
37,193,368,469,1.2745,5.9081,6.1506,0.2425
38,194,370,469,1.2676,5.9135,6.1506,0.2371
39,195,382,490,1.2827,5.9454,6.1944,0.249
40,196,408,521,1.277,6.0113,6.2558,0.2445
41,197,414,536,1.2947,6.0259,6.2841,0.2582
42,198,400,536,1.34,5.9915,6.2841,0.2926
43,199,405,533,1.316,6.0039,6.2785,0.2746
44,200,397,525,1.3224,5.9839,6.2634,0.2795
45,201,394,519,1.3173,5.9764,6.2519,0.2755
46,202,397,523,1.3174,5.9839,6.2596,0.2757
47,203,388,517,1.3325,5.961,6.248,0.287
48,204,379,509,1.343,5.9375,6.2324,0.2949
49,205,377,507,1.3448,5.9322,6.2285,0.2963
50,206,380,500,1.3158,5.9402,6.2146,0.2744
2,210,383,510,1.3316,5.948,6.2344,0.2864
3,211,394,524,1.3299,5.9764,6.2615,0.2851
4,212,408,538,1.3186,6.0113,6.2879,0.2766
5,213,413,538,1.3027,6.0234,6.2879,0.2645
7,215,433,573,1.3233,6.0707,6.3509,0.2802
13,221,415,570,1.3735,6.0283,6.3456,0.3173
14,222,414,566,1.3671,6.0259,6.3386,0.3127
15,223,414,567,1.3696,6.0259,6.3404,0.3145
16,224,412,584,1.4175,6.021,6.3699,0.3489
17,225,405,585,1.4444,6.0039,6.3716,0.3677
18,226,396,564,1.4242,5.9814,6.3351,0.3537
19,227,396,565,1.4268,5.9814,6.3368,0.3554
20,228,405,573,1.4148,6.0039,6.3509,0.347
22,230,407,587,1.4423,6.0088,6.375,0.3662
23,231,409,585,1.4303,6.0137,6.3716,0.3579
24,232,403,578,1.4342,5.9989,6.3596,0.3607
25,233,402,578,1.4378,5.9965,6.3596,0.3631
26,234,401,578,1.4414,5.994,6.3596,0.3656
31,239,396,576,1.4545,5.9814,6.3561,0.3747
35,243,398,563,1.4146,5.9865,6.3333,0.3468
36,244,394,557,1.4137,5.9764,6.3226,0.3462
37,245,396,550,1.3889,5.9814,6.3099,0.3285
38,246,404,564,1.396,6.0014,6.3351,0.3337
39,247,408,564,1.3824,6.0113,6.3351,0.3238
40,248,401,564,1.4065,5.994,6.3351,0.3411
41,249,398,548,1.3769,5.9865,6.3063,0.3198
42,250,392,535,1.3648,5.9713,6.2823,0.311
43,251,393,542,1.3791,5.9738,6.2953,0.3215
44,252,397,536,1.3501,5.9839,6.2841,0.3002
45,253,400,536,1.34,5.9915,6.2841,0.2926
46,254,403,540,1.34,5.9989,6.2916,0.2927
47,255,416,543,1.3053,6.0307,6.2971,0.2664
48,256,415,544,1.3108,6.0283,6.2989,0.2706
49,257,414,536,1.2947,6.0259,6.2841,0.2582
50,258,414,526,1.2705,6.0259,6.2653,0.2394
3,263,415,528,1.2723,6.0283,6.2691,0.2408
4,264,425,530,1.2471,6.0521,6.2729,0.2208
5,265,427,534,1.2506,6.0568,6.2804,0.2236
6,266,426,526,1.2347,6.0544,6.2653,0.2109
7,267,421,525,1.247,6.0426,6.2634,0.2208
8,268,420,525,1.25,6.0403,6.2634,0.2231
9,269,419,524,1.2506,6.0379,6.2615,0.2236
10,270,417,523,1.2542,6.0331,6.2596,0.2265
11,271,411,519,1.2628,6.0186,6.2519,0.2333
12,272,406,519,1.2783,6.0064,6.2519,0.2455
13,273,410,533,1.3,6.0162,6.2785,0.2623
14,274,409,540,1.3203,6.0137,6.2916,0.2779
15,275,411,540,1.3139,6.0186,6.2916,0.273
18,278,413,543,1.3148,6.0234,6.2971,0.2737
19,279,415,543,1.3084,6.0283,6.2971,0.2688
20,280,419,546,1.3031,6.0379,6.3026,0.2647
21,281,423,541,1.279,6.0474,6.2934,0.246
22,282,422,539,1.2773,6.045,6.2897,0.2447
23,283,425,539,1.2682,6.0521,6.2897,0.2376
25,285,428,539,1.2593,6.0591,6.2897,0.2306
26,286,427,543,1.2717,6.0568,6.2971,0.2403
31,291,427,543,1.2717,6.0568,6.2971,0.2403
35,295,425,543,1.2776,6.0521,6.2971,0.245
36,296,423,518,1.2246,6.0474,6.25,0.2026
37,297,422,519,1.2299,6.045,6.2519,0.2069
39,299,422,519,1.2299,6.045,6.2519,0.2069
40,300,420,519,1.2357,6.0403,6.2519,0.2116
41,301,421,522,1.2399,6.0426,6.2577,0.2151
42,302,421,523,1.2423,6.0426,6.2596,0.217
43,303,418,520,1.244,6.0355,6.2538,0.2183
44,304,421,522,1.2399,6.0426,6.2577,0.2151
45,305,420,520,1.2381,6.0403,6.2538,0.2135
46,306,422,524,1.2417,6.045,6.2615,0.2165
47,307,424,523,1.2335,6.0497,6.2596,0.2099
48,308,425,523,1.2306,6.0521,6.2596,0.2075
49,309,423,522,1.234,6.0474,6.2577,0.2103
50,310,422,522,1.237,6.045,6.2577,0.2127
51,311,422,524,1.2417,6.045,6.2615,0.2165
3,315,423,524,1.2388,6.0474,6.2615,0.2141
4,316,423,530,1.253,6.0474,6.2729,0.2255
5,317,427,535,1.2529,6.0568,6.2823,0.2255
6,318,428,535,1.25,6.0591,6.2823,0.2232
7,319,437,544,1.2449,6.0799,6.2989,0.219
8,320,441,550,1.2472,6.089,6.3099,0.2209
9,321,440,550,1.25,6.0868,6.3099,0.2231
10,322,445,554,1.2449,6.0981,6.3172,0.2191
11,323,446,561,1.2578,6.1003,6.3297,0.2294
12,324,443,579,1.307,6.0936,6.3613,0.2677
13,325,445,579,1.3011,6.0981,6.3613,0.2632
14,326,444,582,1.3108,6.0958,6.3665,0.2707
18,330,446,585,1.3117,6.1003,6.3716,0.2713
19,331,445,581,1.3056,6.0981,6.3648,0.2667
20,332,443,581,1.3115,6.0936,6.3648,0.2712
21,333,442,581,1.3145,6.0913,6.3648,0.2735
22,334,446,580,1.3004,6.1003,6.363,0.2627
23,335,448,579,1.2924,6.1048,6.3613,0.2565
24,336,449,579,1.2895,6.107,6.3613,0.2543
25,337,445,579,1.3011,6.0981,6.3613,0.2632
26,338,443,579,1.307,6.0936,6.3613,0.2677
27,339,437,579,1.3249,6.0799,6.3613,0.2814
30,342,439,579,1.3189,6.0845,6.3613,0.2768
34,346,433,572,1.321,6.0707,6.3491,0.2784
35,347,431,572,1.3271,6.0661,6.3491,0.283
36,348,430,572,1.3302,6.0638,6.3491,0.2853
37,349,437,576,1.3181,6.0799,6.3561,0.2762
38,350,435,576,1.3241,6.0753,6.3561,0.2808
39,351,433,561,1.2956,6.0707,6.3297,0.259
40,352,432,561,1.2986,6.0684,6.3297,0.2613
41,353,432,553,1.2801,6.0684,6.3154,0.247
42,354,431,558,1.2947,6.0661,6.3244,0.2583
43,355,432,553,1.2801,6.0684,6.3154,0.247
44,356,432,547,1.2662,6.0684,6.3044,0.236
45,357,432,562,1.3009,6.0684,6.3315,0.2631
46,358,432,565,1.3079,6.0684,6.3368,0.2684
47,359,430,564,1.3116,6.0638,6.3351,0.2713
48,360,427,551,1.2904,6.0568,6.3117,0.2549
49,361,426,549,1.2887,6.0544,6.3081,0.2537
50,362,426,549,1.2887,6.0544,6.3081,0.2537
2,366,429,556,1.296,6.0615,6.3208,0.2593
3,367,432,563,1.3032,6.0684,6.3333,0.2649
4,368,435,579,1.331,6.0753,6.3613,0.286
5,369,438,580,1.3242,6.0822,6.363,0.2808
6,370,438,582,1.3288,6.0822,6.3665,0.2843
7,371,436,577,1.3234,6.0776,6.3578,0.2802
8,372,435,578,1.3287,6.0753,6.3596,0.2843
9,373,435,576,1.3241,6.0753,6.3561,0.2808
10,374,471,626,1.3291,6.1549,6.4394,0.2845
11,375,471,628,1.3333,6.1549,6.4425,0.2876
12,376,466,641,1.3755,6.1442,6.463,0.3188
13,377,467,623,1.334,6.1463,6.4345,0.2882
17,381,470,639,1.3596,6.1527,6.4599,0.3072
18,382,470,643,1.3681,6.1527,6.4661,0.3134
19,383,470,632,1.3447,6.1527,6.4489,0.2962
20,384,468,632,1.3504,6.1485,6.4489,0.3004
21,385,467,632,1.3533,6.1463,6.4489,0.3026
22,386,472,635,1.3453,6.157,6.4536,0.2966
23,387,473,635,1.3425,6.1591,6.4536,0.2945
24,388,474,644,1.3586,6.1612,6.4677,0.3065
25,389,471,642,1.3631,6.1549,6.4646,0.3097
30,394,481,638,1.3264,6.1759,6.4583,0.2824
34,398,481,627,1.3035,6.1759,6.4409,0.265
35,399,481,627,1.3035,6.1759,6.4409,0.265
36,400,481,624,1.2973,6.1759,6.4362,0.2603
37,401,482,627,1.3008,6.1779,6.4409,0.263
38,402,482,627,1.3008,6.1779,6.4409,0.263
39,403,482,633,1.3133,6.1779,6.4505,0.2726
40,404,481,624,1.2973,6.1759,6.4362,0.2603
41,405,480,620,1.2917,6.1738,6.4297,0.2559
42,406,479,617,1.2881,6.1717,6.4249,0.2532
43,407,477,620,1.2998,6.1675,6.4297,0.2622
44,408,477,625,1.3103,6.1675,6.4378,0.2703
45,409,477,620,1.2998,6.1675,6.4297,0.2622
46,410,476,624,1.3109,6.1654,6.4362,0.2708
47,411,476,623,1.3088,6.1654,6.4345,0.2691
48,412,476,627,1.3172,6.1654,6.4409,0.2755
49,413,475,628,1.3221,6.1633,6.4425,0.2792
50,414,476,636,1.3361,6.1654,6.4552,0.2898
2,418,480,649,1.3521,6.1738,6.4754,0.3016
3,419,483,671,1.3892,6.18,6.5088,0.3288
4,420,488,717,1.4693,6.1903,6.5751,0.3848
5,421,490,748,1.5265,6.1944,6.6174,0.423
6,422,488,726,1.4877,6.1903,6.5876,0.3973
7,423,490,754,1.5388,6.1944,6.6254,0.431
8,424,490,754,1.5388,6.1944,6.6254,0.431
9,425,493,791,1.6045,6.2005,6.6733,0.4728
10,426,490,775,1.5816,6.1944,6.6529,0.4585
11,427,490,773,1.5776,6.1944,6.6503,0.4559
12,428,487,770,1.5811,6.1883,6.6464,0.4581
13,429,492,786,1.5976,6.1985,6.667,0.4685
14,430,495,786,1.5879,6.2046,6.667,0.4624
18,434,494,786,1.5911,6.2025,6.667,0.4645
19,435,496,786,1.5847,6.2066,6.667,0.4604
20,436,495,786,1.5879,6.2046,6.667,0.4624
21,437,495,786,1.5879,6.2046,6.667,0.4624
22,438,497,786,1.5815,6.2086,6.667,0.4584
25,441,496,786,1.5847,6.2066,6.667,0.4604
26,442,499,786,1.5752,6.2126,6.667,0.4544
